iter	Passed	Remaining
0	1	108
1	2	99
2	2	93
3	3	87
4	4	86
5	5	84
6	6	83
7	7	81
8	7	80
9	8	79
10	9	78
11	10	78
12	11	76
13	12	75
14	13	74
15	14	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	18	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	59
31	27	58
32	28	58
33	29	57
34	30	56
35	31	56
36	32	55
37	33	54
38	34	53
39	34	52
40	35	51
41	36	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	45	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	84	1
98	85	0
99	86	0
